jour,hospitalises,reanimation,deces,hosp_mm7,rea_mm7
2021-01-03,24780,2665,45231,24551.0,2649.0
2021-01-04,24962,2657,45609,24596.0,2644.0
2021-01-05,24871,2616,45954,24614.0,2637.0
2021-01-06,24708,2607,46237,24636.0,2630.0
2021-01-07,24488,2573,46513,24647.0,2623.0
2021-01-08,24377,2606,46789,24663.0,2622.0
2021-01-09,24240,2600,46957,24632.0,2618.0
2021-01-10,24526,2620,47108,24596.0,2611.0
2021-01-11,24812,2666,47418,24575.0,2613.0
2021-01-12,24703,2678,47773,24551.0,2621.0
2021-01-13,24735,2701,48002,24554.0,2635.0
2021-01-14,24983,2716,48284,24625.0,2655.0
2021-01-15,25009,2730,48564,24715.0,2673.0
2021-01-16,24985,2731,48757,24822.0,2692.0
2021-01-17,25235,2766,48898,24923.0,2713.0
2021-01-18,25584,2803,49301,25033.0,2732.0
2021-01-19,25532,2829,49670,25152.0,2754.0
2021-01-20,25650,2842,49980,25283.0,2774.0
2021-01-21,25699,2866,50326,25385.0,2795.0
2021-01-22,25872,2902,50645,25508.0,2820.0
2021-01-23,25864,2886,50875,25634.0,2842.0
2021-01-24,26357,2955,51047,25794.0,2869.0
2021-01-25,26888,3031,51492,25980.0,2902.0
2021-01-26,27005,3071,51842,26191.0,2936.0
2021-01-27,27131,3097,52192,26402.0,2973.0
2021-01-28,27128,3101,52536,26606.0,3006.0
2021-01-29,27270,3120,52891,26806.0,3037.0
2021-01-30,27242,3103,53133,27003.0,3068.0
2021-01-31,27573,3148,53328,27177.0,3096.0
2021-02-01,27874,3218,53783,27318.0,3123.0
2021-02-02,28029,3270,54187,27464.0,3151.0
2021-02-03,27953,3267,54544,27581.0,3175.0
2021-02-04,27766,3240,54901,27672.0,3195.0
2021-02-05,27572,3235,55194,27716.0,3212.0
2021-02-06,27327,3215,55385,27728.0,3228.0
2021-02-07,27652,3262,55556,27739.0,3244.0
2021-02-08,27995,3353,56014,27756.0,3263.0
2021-02-09,27634,3332,56450,27700.0,3272.0
2021-02-10,27417,3309,56746,27623.0,3278.0
2021-02-11,26963,3327,57106,27509.0,3290.0
2021-02-12,26424,3298,57423,27345.0,3299.0
2021-02-13,26196,3294,57622,27183.0,3311.0
2021-02-14,26401,3299,57789,27004.0,3316.0
2021-02-15,26478,3371,58201,26788.0,3319.0
2021-02-16,26195,3338,58552,26582.0,3319.0
